learning_rate,gamma,n_steps,ent_coef,vf_coef,max_grad_norm,gae_lambda,run_id,description,algorithm,mean_reward,std_reward,training_time_s
0.0007,0.99,5,0.01,0.5,0.5,1.0,0,Baseline LR=7e-4,A2C,421.5778,29.1701,434.9
0.0003,0.99,5,0.01,0.5,0.5,1.0,1,Lower LR=3e-4,A2C,406.2859,20.8639,641.6
0.001,0.99,5,0.01,0.5,0.5,1.0,2,Higher LR=1e-3,A2C,362.9904,82.5619,499.9
0.0007,0.95,5,0.01,0.5,0.5,1.0,3,Lower gamma=0.95,A2C,336.0172,50.8158,588.9
0.0007,0.99,20,0.01,0.5,0.5,1.0,4,Longer steps=20,A2C,368.4486,73.5376,410.5
0.0007,0.99,5,0.05,0.5,0.5,1.0,5,High entropy=0.05,A2C,364.8246,72.5827,454.7
0.0007,0.99,5,0.01,1.0,0.5,1.0,6,High vf_coef=1.0,A2C,337.004,73.8251,508.2
0.0007,0.99,5,0.01,0.25,0.5,1.0,7,Low vf_coef=0.25,A2C,333.242,65.0786,583.7
0.0007,0.99,5,0.01,0.5,1.0,0.95,8,"High grad norm, GAE=0.95",A2C,412.4757,79.2268,562.0
0.0005,0.995,10,0.02,0.5,0.5,1.0,9,"Long gamma, medium steps",A2C,456.9842,32.6842,426.5
