learning_rate,gamma,n_steps,ent_coef,max_grad_norm,run_id,description,algorithm,vf_coef,mean_reward,std_reward,training_time_s
0.0005,0.99,60,0.01,0.5,0,Baseline LR=5e-4,REINFORCE,0.0,364.0585,81.0658,332.4
0.001,0.99,60,0.01,0.5,1,Baseline LR=1e-3,REINFORCE,0.0,251.0563,25.1975,334.0
0.003,0.99,60,0.01,0.5,2,Higher LR=3e-3,REINFORCE,0.0,220.2575,40.9169,315.4
0.001,0.95,60,0.01,0.5,3,Lower gamma=0.95,REINFORCE,0.0,405.7227,60.351,333.1
0.001,0.995,60,0.01,0.5,4,Higher gamma=0.995,REINFORCE,0.0,241.0697,27.5987,334.4
0.001,0.99,60,0.05,0.5,5,Higher entropy=0.05,REINFORCE,0.0,363.2073,95.5699,326.6
0.001,0.99,60,0.001,0.5,6,Lower entropy=0.001,REINFORCE,0.0,219.0513,48.9325,340.1
0.001,0.99,120,0.01,0.5,7,Longer rollout n=120,REINFORCE,0.0,254.6511,21.67,336.5
0.001,0.99,60,0.01,1.0,8,Higher grad_norm=1.0,REINFORCE,0.0,213.6729,36.2122,341.3
0.0005,0.99,60,0.05,0.5,9,LR=5e-4 + entropy=0.05,REINFORCE,0.0,374.1419,60.3087,340.0
